O2_Delta,CO2_Delta,CO_Delta,Fuel Sample Material_1 cm   0.2 mm PMMA film,Fuel Sample Material_1 cm SIBAL,Fuel Sample Material_1 cm SIBAL   top side ign,Fuel Sample Material_1 cm wide 200 micron thick PMMA,Fuel Sample Material_1 cm wide PMMA 1 mm thick,Fuel Sample Material_1 cm wide PMMA 2 mm thick,Fuel Sample Material_1 cm wide PMMA 3 mm thick,Fuel Sample Material_1 cm wide PMMA 5 mm thick,Fuel Sample Material_1 mm thick PMMA   1 sided   2 cm,Fuel Sample Material_1 mm thick PMMA   2 cm wide,"Fuel Sample Material_1/2"" clear PMMA rod","Fuel Sample Material_1/2"" clear rod ",Fuel Sample Material_1/4 blac rod,Fuel Sample Material_1/4 black rod,Fuel Sample Material_1/4 clear rod,"Fuel Sample Material_1/4""  black rod","Fuel Sample Material_1/4"" black rod","Fuel Sample Material_1/4"" clear rod",Fuel Sample Material_100 micron PMMA film   2 cm wide,Fuel Sample Material_100 micron film   2 cm wide,Fuel Sample Material_2 cm   0.1 mm PMMA film,Fuel Sample Material_2 cm   0.2 mm PMMA film,Fuel Sample Material_2 cm   0.4 mm thick film,Fuel Sample Material_2 cm   4 mm 1 sided PMMA slab,Fuel Sample Material_2 cm 0.1 mm PMMA film,Fuel Sample Material_2 cm 100 micron thick PMMA,Fuel Sample Material_2 cm SIBAL,Fuel Sample Material_2 cm Sibal   moved igniter,Fuel Sample Material_2 cm wide   5 mm thick 1 sided PMMA,Fuel Sample Material_2 cm wide PMMA 2 mm thick,Fuel Sample Material_2 cm wide PMMA 3 mm thick,Fuel Sample Material_2 mm thick PMMA   2 cm wide,Fuel Sample Material_200 micron  2 cm wide ,Fuel Sample Material_200 micron PMMA film   2 cm wide,Fuel Sample Material_2mm thick PMMA   1 sided   2 cm wide,Fuel Sample Material_3 mm thick PMMA   2 sided   2 cm thick,Fuel Sample Material_3 mm thick PMMA 1 sided    2 cm wide,"Fuel Sample Material_3/8"" black rod","Fuel Sample Material_3/8"" clear rod","Fuel Sample Material_3/8""clear rod",Fuel Sample Material_300 micron PMMA film   2 cm wide ,Fuel Sample Material_300 micron film   2 cm wide,Fuel Sample Material_4 cm spherical section,Fuel Sample Material_4 mm thick   1 cm wide PMMA slab,Fuel Sample Material_4 mm thick   2 cm 2ide PMMA slab,Fuel Sample Material_4 mm thick PMMA   2 cm wide,Fuel Sample Material_400 micron film   2 cm wide,Fuel Sample Material_5 mm thick PMMA   2 cm wide,Fuel Sample Material_Japan Wax candle,Fuel Sample Material_Nomex natural (nomex III),Flow restrictor_1,Flow restrictor_2,O2_CO2_Ratio
-0.08689813966101781,-0.5601702429216877,-0.39568650467018796,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,-0.20080483222562467,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,7.968688725254615,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.1543033499620919,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,0.5265241901112212,-0.045882905316759974
-0.13750698849294324,-0.7614570433030181,-0.562049711444369,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,-0.20080483222562467,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.1543033499620919,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,11.31370849898476,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,0.5265241901112212,-0.04592980007111494
-0.036289290829093296,-0.15759664215902627,-0.3125049012830974,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,-0.20080483222562467,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,11.31370849898476,-0.08838834764831845,-0.08838834764831843,-0.1543033499620919,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,0.5265241901112212,-0.046073052452519525
-0.770117598892001,0.6922809594510362,-0.13061446187665943,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,4.979959839195492,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.1543033499620919,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,0.5265241901112212,-0.04770857949208612
-0.11220256407698051,-0.649631043091168,-0.5287770700895328,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,-0.20080483222562467,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,7.968688725254615,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.1543033499620919,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,-1.899247971472619,-0.04592973455137392
-0.13750698849294232,-0.7838222433453882,-0.562049711444369,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,-0.20080483222562467,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,6.48074069840786,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,0.5265241901112212,-0.045766025282346114
-0.13750698849294232,-0.5601702429216875,-0.3901410644443819,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,4.979959839195492,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.1543033499620919,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,0.5265241901112212,-0.0463510104395726
-0.16281141290890502,-0.6943614431759081,-0.4788681080572785,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,4.979959839195492,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.1543033499620919,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,-1.899247971472619,-0.046585063000978914
-0.13750698849294232,-0.7390918432606483,-0.5842314723475932,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,-0.20080483222562467,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,6.48074069840786,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,-1.899247971472619,-0.04603899236071065
-0.16281141290890502,-0.7614570433030183,-0.5121407494121147,-0.08838834764831843,-0.25712973861329,-0.08838834764831843,-0.20080483222562467,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.12549116102763172,-0.17888543819998318,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.3053200599093529,-0.36273812505500586,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.12549116102763172,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,6.48074069840786,-0.3895968612369898,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.08838834764831845,-0.08838834764831843,-0.08838834764831843,-0.23953506879020425,-0.2008048322256247,-0.12549116102763172,-0.08838834764831843,-0.08838834764831843,-0.12549116102763172,-0.08838834764831845,-0.08838834764831845,-0.08838834764831845,-0.08838834764831843,-0.1254911610276317,-0.08838834764831843,-0.1543033499620919,-0.3762883473534389,0.5265241901112212,-0.046585063000978914
